Year,Quarter,Temperature_Change,sea_level,Greenhouse_Gas_Emissions,Crop_Production_Change
2000,Q1,0.3,0.1,26.2,100000
2000,Q2,0.4,0.2,26.5,110000
2000,Q3,0.5,0.3,26.8,115000
2000,Q4,0.6,0.4,27.1,120000
2001,Q1,0.4,0.3,27,105000
2001,Q2,0.5,0.4,27.3,115000
2001,Q3,0.6,0.5,27.6,120000
2001,Q4,0.7,0.6,27.9,125000
2002,Q1,0.5,0.5,27.8,110000
2002,Q2,0.6,0.6,28.1,120000
2002,Q3,0.7,0.7,28.4,125000
2002,Q4,0.8,0.8,28.7,130000
2003,Q1,0.6,0.7,28.6,115000
2003,Q2,0.7,0.8,28.9,125000
2003,Q3,0.8,0.9,29.2,130000
2003,Q4,0.9,1,29.5,135000
2004,Q1,0.7,0.9,29.4,120000
2004,Q2,0.8,1,29.7,130000
2004,Q3,0.9,1.1,30,135000
2004,Q4,1,1.2,30.3,140000
2005,Q1,0.8,1.1,30.2,125000
2005,Q2,0.9,1.2,30.5,135000
2005,Q3,1,1.3,30.8,140000
2005,Q4,1.1,1.4,31.1,145000
2006,Q1,0.9,1.3,31,130000
2006,Q2,1,1.4,31.3,140000
2006,Q3,1.1,1.5,31.6,145000
2006,Q4,1.2,1.6,31.9,150000
2007,Q1,1,1.5,31.8,135000
2007,Q2,1.1,1.6,32.1,145000
2007,Q3,1.2,1.7,32.4,150000
2007,Q4,1.3,1.8,32.7,155000
2008,Q1,1.1,1.7,32.6,140000
2008,Q2,1.2,1.8,32.9,150000
2008,Q3,1.3,1.9,33.2,155000
2008,Q4,1.4,2,33.5,160000
2009,Q1,1.2,1.9,33.4,145000
2009,Q2,1.3,2,33.7,155000
2009,Q3,1.4,2.1,34,160000
2009,Q4,1.5,2.2,34.3,165000
2010,Q1,1.3,2.1,34.2,150000
2010,Q2,1.4,2.2,34.5,160000
2010,Q3,1.5,2.3,34.8,165000
2010,Q4,1.6,2.4,35.1,170000
2011,Q1,1.4,2.3,35,155000
2011,Q2,1.5,2.4,35.3,165000
2011,Q3,1.6,2.5,35.6,170000
2011,Q4,1.7,2.6,35.9,175000
2012,Q1,1.5,2.5,35.8,160000
2012,Q2,1.6,2.6,36.1,170000
2012,Q3,1.7,2.7,36.4,175000
2012,Q4,1.8,2.8,36.7,180000
2013,Q1,1.6,2.7,36.6,165000
2013,Q2,1.7,2.8,36.9,175000
2013,Q3,1.8,2.9,37.2,180000
2013,Q4,1.9,3,37.5,185000
2014,Q1,1.7,2.9,37.4,170000
2014,Q2,1.8,3,37.7,180000
2014,Q3,1.9,3.1,38,185000
2014,Q4,2,3.2,38.3,190000
2015,Q1,1.8,3.1,38.2,175000
2015,Q2,1.9,3.2,38.5,185000
2015,Q3,2,3.3,38.8,190000
2015,Q4,2.1,3.4,39.1,195000
2016,Q1,1.9,3.3,39,180000
2016,Q2,2,3.4,39.3,190000
2016,Q3,2.1,3.5,39.6,195000
2016,Q4,2.2,3.6,39.9,200000
2017,Q1,2,3.5,39.8,185000
2017,Q2,2.1,3.6,40.1,195000
2017,Q3,2.2,3.7,40.4,200000
2017,Q4,2.3,3.8,40.7,205000
2018,Q1,2.1,3.7,40.6,190000
2018,Q2,2.2,3.8,40.9,200000
2018,Q3,2.3,3.9,41.2,205000
2018,Q4,2.4,4,41.5,210000
2019,Q1,2.2,3.9,41.4,195000
2019,Q2,2.3,4,41.7,205000
2019,Q3,2.4,4.1,42,210000
2019,Q4,2.5,4.2,42.3,215000
2020,Q1,2.3,4.1,42.2,200000
2020,Q2,2.4,4.2,42.5,210000
2020,Q3,2.5,4.3,42.8,215000
2020,Q4,2.6,4.4,43.1,220000
2021,Q1,2.4,4.3,43,205000
2021,Q2,2.5,4.4,43.3,215000
2021,Q3,2.6,4.5,43.6,220000
2021,Q4,2.7,4.6,43.9,225000
2022,Q1,2.5,4.5,43.8,210000
2022,Q2,2.6,4.6,44.1,220000
2022,Q3,2.7,4.7,44.4,225000
2022,Q4,2.8,4.8,44.7,230000
2023,Q1,2.6,4.7,44.6,215000
2023,Q2,2.7,4.8,44.9,225000
2023,Q3,2.8,4.9,45.2,230000
2023,Q4,2.9,5,45.5,235000
2024,Q1,2.7,4.9,45.4,220000
2024,Q2,2.8,5,45.7,230000
2024,Q3,2.9,5.1,46,235000
2024,Q4,3,5.2,46.3,240000
